53,40,929,954
53,40,925,980
53,40,927,951
53,40,928,949
53,40,930,951
53,40,925,971
53,40,925,958
53,40,922,954
53,40,927,951
53,40,927,957
53,40,927,964
53,40,925,907
53,40,927,947
53,40,928,951
53,40,928,955
53,40,928,952
53,40,917,952
53,40,936,952
53,40,928,944
53,40,926,954
53,40,927,955
53,40,925,952
53,40,930,945
53,40,923,953
53,40,929,954
53,40,928,958
53,40,928,965
53,40,929,939
53,40,927,939
53,40,927,959
53,40,929,950
53,40,927,950
53,40,928,968
53,40,927,949
53,40,929,949
53,40,929,950
53,40,928,948
53,40,930,932
53,40,928,947
53,40,928,924
53,40,926,980
53,40,926,973
53,40,929,953
53,40,929,954
53,40,930,949
53,40,929,952
53,40,928,960
53,40,927,960
53,40,926,951
53,40,924,951
53,40,921,942
53,40,929,953
53,40,930,948
53,40,926,953
53,40,928,953
53,40,930,976
53,40,928,954
53,40,930,952
53,40,929,945
53,40,927,956
53,40,929,955
53,40,928,951
53,40,928,948
53,40,928,958
53,40,928,973
53,40,928,952
53,40,928,974
53,40,928,976
53,40,929,951
53,40,929,949
53,40,929,950
53,40,934,952
53,40,928,959
53,40,929,957
53,40,930,970
53,40,929,972
53,40,929,969
53,40,928,958
53,40,930,948
53,40,930,978
53,40,930,937
53,40,931,953
53,40,927,954
53,40,930,972
53,40,933,955
53,40,929,965
53,40,934,957
53,40,931,958
53,40,931,957
53,40,932,960
53,40,930,965
53,40,929,953
53,40,928,959
53,40,932,947
53,40,930,964
53,40,924,944
53,40,929,958
53,40,931,959
53,40,929,984
53,40,929,951
53,40,930,958
53,40,930,948
53,40,929,914
53,40,931,958
53,40,936,961
53,40,930,960
53,40,927,961
53,40,931,954
53,40,927,957
53,40,929,959
53,40,930,953
53,40,931,971
53,40,931,994
53,40,935,946
53,40,929,959
53,40,932,960
53,40,933,945
53,40,930,958
53,40,928,952
53,40,931,947
53,40,931,960
53,40,930,968
53,40,929,967
53,40,934,976
53,40,928,954
53,40,927,950
53,40,928,956
53,40,930,952
53,40,929,960
53,40,929,962
